2024-07-081720489077 980,543 4917.0
1720489077 984,534 6621.5
1720489078 986,537 6048.5
1720489078 972,561 3592.0
1720489078 982,538 6277.0
1720489078 982,538 6221.0
1720489078 981,536 6187.0
1720489078 978,546 5248.0
1720489078 976,540 6023.5
1720489078 978,541 5861.5
1720489078 981,537 5520.5
1720489078 978,532 6042.0
1720489078 980,522 6010.5
1720489078 979,516 5725.0
1720489078 975,516 6066.5
1720489078 973,516 6017.5
1720489078 972,517 6391.5
1720489078 972,515 6157.0
1720489079 970,514 6465.0
1720489079 970,513 6086.0
1720489079 970,513 6195.0
1720489079 969,511 6159.0
1720489079 969,508 6084.0
1720489079 964,504 5885.0
1720489079 948,505 6387.0
1720489079 937,509 6137.5
1720489079 958,483 2332.5
1720489079 42,66 461.0
1720489079 24,66 941.5
1720489079 1800,814 394.0
1720489079 5,442 143.0
1720489079 1702,901 243.5
1720489079 215,19 132.5
1720489080 1048,497 141.5
1720489080 1034,515 63.0
1720489080 1035,514 298.5
1720489080 1004,535 1026.0
1720489080 953,606 290.0
1720489080 197,64 689.0
1720489080 25,408 152.0
1720489080 901,1021 715.5
1720489080 1822,900 458.5
1720489080 41,299 559.5
1720489080 1,303 12.0
1720489080 11,67 513.0
1720489080 30,750 5097.0
1720489080 179,558 6216.5
1720489080 359,402 4548.0
1720489080 473,314 4388.0
1720489081 552,252 4895.0
1720489081 608,218 5247.0
1720489081 652,199 4884.5
1720489081 695,187 5153.0
1720489081 734,177 5334.5
1720489081 752,174 5293.0
1720489081 781,175 5503.5
1720489081 800,178 5734.5
1720489081 807,181 5847.5
1720489081 815,193 5964.5
1720489081 819,203 6158.5
1720489081 823,228 6287.5
1720489081 821,258 6514.5
1720489081 812,285 6456.0
1720489081 798,309 6309.5
1720489081 789,319 6316.0
1720489082 768,337 6055.5
1720489082 747,349 5732.5
1720489082 728,360 5595.5
1720489082 714,366 5291.0
1720489082 704,366 5064.5
1720489082 696,365 4865.0
1720489082 689,366 4615.0
1720489082 679,377 4519.5
1720489082 667,396 4249.0
1720489082 652,415 4044.0
1720489082 642,428 3833.0
1720489082 641,435 3601.0
1720489082 642,438 3547.0
1720489082 648,440 3279.0
1720489082 657,438 3168.5
1720489082 672,433 2942.5
1720489083 696,427 2780.0
1720489083 711,424 2575.5
1720489083 747,414 2517.5
1720489083 783,407 2378.0
1720489083 803,404 2423.5
1720489083 841,398 2217.5
1720489083 878,396 2178.0
1720489083 910,394 2065.0
1720489083 942,393 2150.5
1720489083 972,392 1940.5
1720489083 1002,393 1989.5
1720489083 1035,392 1805.0
1720489083 1069,395 1660.5
1720489083 1105,397 1592.5
1720489083 1143,402 1536.5
1720489084 1181,407 1635.5
1720489084 1216,409 1553.0
1720489084 1246,410 1549.5
1720489084 1270,410 1425.5
1720489084 1294,412 1272.0
1720489084 1314,415 1309.5
1720489084 1332,418 1381.5
1720489084 1352,422 1333.5
1720489084 1375,428 1306.5
1720489084 1392,430 1251.0
1720489084 1403,429 1147.5
1720489084 1406,423 973.0
1720489084 1403,416 934.0
1720489084 1394,409 1026.0
1720489084 1391,406 926.0
1720489085 1389,399 893.0
1720489085 1391,391 780.5
1720489085 1397,385 530.0
1720489085 1402,387 905.0
1720489085 1411,385 850.5
1720489085 1417,389 873.5
1720489085 1421,389 853.0
1720489085 1423,391 970.5
1720489085 1425,390 834.0
1720489085 1427,390 906.5
1720489085 1426,390 885.0
1720489085 1430,385 783.5
1720489085 1431,383 766.0
1720489085 1432,383 794.5
1720489085 1435,379 635.5
1720489085 1437,383 747.0
1720489086 1440,382 558.5
1720489086 1440,383 671.5
1720489086 1447,386 750.0
1720489086 1457,386 628.0
1720489086 1464,384 616.5
1720489086 1472,386 527.5
1720489086 1474,388 569.0
1720489086 1477,390 659.5
1720489086 1478,388 488.0
1720489086 1476,391 620.0
1720489086 1470,392 509.5
1720489086 1466,392 560.0
1720489086 1461,394 453.5
1720489086 1462,395 690.0
1720489086 1460,397 474.5
1720489086 273,654 693.5
1720489087 1462,398 444.0
1720489087 1461,399 404.0
1720489087 1459,400 260.0
1720489087 1463,397 373.5
1720489087 1461,398 358.0
1720489087 1458,400 483.5
1720489087 1456,399 462.0
1720489087 1456,400 539.5
1720489087 1453,402 546.5
1720489087 1455,400 529.0
1720489087 1451,401 418.5
1720489087 1450,399 457.5
1720489087 1447,401 650.0
1720489087 1448,397 568.0
1720489087 1444,398 435.5
1720489087 1444,401 620.5
1720489088 1443,400 543.0
1720489088 1445,401 621.0
1720489088 1446,401 606.0
1720489088 1452,399 436.0
1720489088 1453,400 518.5
1720489088 1456,396 328.0
1720489088 1453,401 614.0
1720489088 1450,400 554.5
1720489088 1447,395 463.5
1720489088 1441,394 485.0
1720489088 1435,391 422.0
1720489088 1430,389 390.0
1720489088 1424,387 400.0
1720489088 1417,388 466.5
1720489088 1408,386 436.0
1720489089 1397,386 538.5
1720489089 1391,380 357.0
1720489089 1387,380 343.5
1720489089 1376,378 434.0
1720489089 1368,376 351.0
1720489089 1361,375 397.5
1720489089 1353,377 472.0
1720489089 201,98 578.5
1720489089 1343,376 408.5
1720489089 1337,373 396.0
1720489089 1333,374 490.5
1720489089 1325,372 444.5
